id,accident_risk
517754,0.285506675
517755,0.130352006
517756,0.190198124
517757,0.31751914
517758,0.414413057
517759,0.462026039
517760,0.258871347
517761,0.200539604
517762,0.355599208
517763,0.331679014
517764,0.081840656
517765,0.194995453
517766,0.317929981
517767,0.266370513
517768,0.179646891
517769,0.304981079
517770,0.303991001
517771,0.298909183
517772,0.090209915
517773,0.257285221
517774,0.374229132
517775,0.616452164
517776,0.130607234
517777,0.214213596
517778,0.398973763
517779,0.279555349
517780,0.378308371
517781,0.348090209
517782,0.303726685
517783,0.308402531
517784,0.301485823
517785,0.266464192
517786,0.462231381
517787,0.351731094
517788,0.331172045
517789,0.153209973
517790,0.301007919
517791,0.312193695
517792,0.708571466
517793,0.184806829
517794,0.116776615
517795,0.309775493
517796,0.131291917
517797,0.089852399
517798,0.494052448
517799,0.160464089
517800,0.29796569
517801,0.327284058
517802,0.336017196
517803,0.323246166
517804,0.293411875
517805,0.756590353
517806,0.27714939
517807,0.540729391
517808,0.415661443
517809,0.30322921
517810,0.497193292
517811,0.40943376
517812,0.356723078
517813,0.610281121
517814,0.529897025
517815,0.040447121
517816,0.566037287
517817,0.16688446
517818,0.572968211
517819,0.581779658
517820,0.324669067
517821,0.158867103
517822,0.057119148
517823,0.200476969
517824,0.127199777
517825,0.353908455
517826,0.292793647
517827,0.523693355
517828,0.598616933
517829,0.463602539
517830,0.670271795
517831,0.18727731
517832,0.189647236
517833,0.300787159
517834,0.422449501
517835,0.309343891
517836,0.357288593
517837,0.31863007
517838,0.375006995
517839,0.640056404
517840,0.416547589
517841,0.120796081
517842,0.419883416
517843,0.481164296
517844,0.131104224
517845,0.190613757
517846,0.422023892
517847,0.099617293
517848,0.475009723
517849,0.374415515
517850,0.150990714
517851,0.198419624
517852,0.111380947
517853,0.556470202
517854,0.320443997
517855,0.486825475
517856,0.340767244
517857,0.133928083
517858,0.240518438
517859,0.429906012
517860,0.502218949
517861,0.759435233
517862,0.506974231
517863,0.399597656
517864,0.295716913
517865,0.316885677
517866,0.482915008
517867,0.485159365
517868,0.181080651
517869,0.296544473
517870,0.358706464
517871,0.444150573
517872,0.347569529
517873,0.138671673
517874,0.389778218
517875,0.182583275
517876,0.224128149
517877,0.280852657
517878,0.240617717
517879,0.363074336
517880,0.412548168
517881,0.303197717
517882,0.360650585
517883,0.090697555
517884,0.545597616
517885,0.064538301
517886,0.493476829
517887,0.572916812
517888,0.324290719
517889,0.330126205
517890,0.29274917
517891,0.627669285
517892,0.607819984
517893,0.146873124
517894,0.371085351
517895,0.616059823
517896,0.570329374
517897,0.308416886
517898,0.143097007
517899,0.375396098
517900,0.310776592
517901,0.315037339
517902,0.153299992
517903,0.304149858
517904,0.04038496
517905,0.35989976
517906,0.456884605
517907,0.561638698
517908,0.287552302
517909,0.054574084
517910,0.230917392
517911,0.505492655
517912,0.389738825
517913,0.359239394
517914,0.707866975
517915,0.166680863
517916,0.522114334
517917,0.316239908
517918,0.344834208
517919,0.544179933
517920,0.153220552
517921,0.300755075
517922,0.436188949
517923,0.726203326
517924,0.325038408
517925,0.317757244
517926,0.140231009
517927,0.651140795
517928,0.234415131
517929,0.457900472
517930,0.271555322
517931,0.363339867
517932,0.331473466
517933,0.37995014
517934,0.65531441
517935,0.187354949
517936,0.681942344
517937,0.31458566
517938,0.467909914
517939,0.471315996
517940,0.431101035
517941,0.477951965
517942,0.336454263
517943,0.309273659
517944,0.05402532
517945,0.312644559
517946,0.091017173
517947,0.475017928
517948,0.583841939
