id,accident_risk
517754,0.2873596468595126
517755,0.12441267006875445
517756,0.18381360565204957
517757,0.3188862935139509
517758,0.40937696925052636
517759,0.46277947532614955
517760,0.26129439929005416
517761,0.19799285095904368
517762,0.3636228690624688
517763,0.32613512038968
517764,0.08000086245585147
517765,0.19643355841077367
517766,0.30833868990473057
517767,0.26367273180016254
517768,0.175402645216711
517769,0.3148954424145228
517770,0.30414353577336106
517771,0.31309626086981646
517772,0.08756249326561343
517773,0.25283906685706686
517774,0.3737991125192884
517775,0.613216292683818
517776,0.13028608509846162
517777,0.2135460440567919
517778,0.40766407802594584
517779,0.2811915629989505
517780,0.37593601472560334
517781,0.33655656460586614
517782,0.291433293123445
517783,0.3101057694234708
517784,0.2960073402449589
517785,0.2547065172542514
517786,0.46973690749669106
517787,0.3495644466659511
517788,0.33141676805258397
517789,0.14517295964467222
517790,0.2952850837883781
517791,0.3075822931148637
517792,0.7095618472424693
517793,0.1812327713945708
517794,0.11452990724331975
517795,0.31199389689088725
517796,0.12986522113621604
517797,0.08829231367040043
517798,0.4869332640711021
517799,0.1577504599929307
517800,0.3051871128389263
517801,0.32995820720950897
517802,0.3343776260053168
517803,0.31652392424863274
517804,0.2924297871825717
517805,0.7759059909485234
517806,0.27510232554547026
517807,0.5414362586576903
517808,0.41730026808847626
517809,0.2938575104006753
517810,0.5031221921909285
517811,0.4095979505278881
517812,0.36476509458900586
517813,0.6104063450623072
517814,0.5476039077102962
517815,0.03714280642199784
517816,0.5673698399721298
517817,0.16591391511391929
517818,0.5672554427263239
517819,0.5791817976849796
517820,0.3152573407886433
517821,0.16421011763380364
517822,0.04861646510503072
517823,0.19361131380183094
517824,0.12192488852253858
517825,0.35620994674344303
517826,0.29703786060144394
517827,0.5239514534680179
517828,0.6350720948437714
517829,0.4616992570792298
517830,0.6636724058941156
517831,0.19380993014611844
517832,0.19486909904383926
517833,0.3056256663781697
517834,0.42277475146334664
517835,0.3106027527938684
517836,0.3650462840509592
517837,0.3054143273495327
517838,0.3746039959949
517839,0.6396711593491671
517840,0.41216653986257856
517841,0.11564360276370704
517842,0.41936838799213716
517843,0.4894470370197804
517844,0.12618127968649204
517845,0.18984691778645651
517846,0.42262292281912744
517847,0.11024797323222886
517848,0.4747802003251298
517849,0.36998788965040774
517850,0.15253074525197832
517851,0.19048618685968552
517852,0.10836611214724473
517853,0.5590383483124577
517854,0.3125595220748583
517855,0.4785578350529059
517856,0.33502812507596513
517857,0.12801397135014242
517858,0.2404459045686902
517859,0.4287492104550427
517860,0.5133139479913459
517861,0.7451199589404827
517862,0.5027990756628117
517863,0.3950818227334598
517864,0.2959932661512011
517865,0.3125164553307243
517866,0.48130524630290417
517867,0.49046616834900586
517868,0.18381197558880472
517869,0.30679676552599694
517870,0.3566429091028278
517871,0.440903490561927
517872,0.34919401592570976
517873,0.14528839092172544
517874,0.39650171066436585
517875,0.1832378066690698
517876,0.22186028977363292
517877,0.2761051705583075
517878,0.238737801108489
517879,0.3743951618528498
517880,0.41511945954194257
517881,0.2810261487861992
517882,0.35678781197193105
517883,0.08895964389854978
517884,0.545503668433055
517885,0.06364101993262399
517886,0.4975430663304842
517887,0.5704745665928308
517888,0.32376560989334147
517889,0.3287086894683606
517890,0.28168929868909287
517891,0.6337589789109991
517892,0.6113516816390846
517893,0.1536564198936236
517894,0.35956675186433773
517895,0.6053237997209935
517896,0.5755337121879768
517897,0.2965083855052643
517898,0.13656622674342453
517899,0.370955935292681
517900,0.30608902067110283
517901,0.31394485322474114
517902,0.15500512845274694
517903,0.3170227342314843
517904,0.033576226506266044
517905,0.3659489399238562
517906,0.4462992773534887
517907,0.5691294695592216
517908,0.2913354443952909
517909,0.051810998088031586
517910,0.22909347386486054
517911,0.48904668672399193
517912,0.3872816689134519
517913,0.3616029842654709
517914,0.7171571509487386
517915,0.15933987178676084
517916,0.5150338657838478
517917,0.3267934383113135
517918,0.34316848289776614
517919,0.5579085831951262
517920,0.15436752957135869
517921,0.3003748029662787
517922,0.43340211080876906
517923,0.7269902196189344
517924,0.3173742983781709
517925,0.31197887658590157
517926,0.1480616218741148
517927,0.6477527941884321
517928,0.24267145183063848
517929,0.4579820124508144
517930,0.2684520726614354
517931,0.36239428732070816
517932,0.32061400239752796
517933,0.37210177417201024
517934,0.6549198440183375
517935,0.18041446179529513
517936,0.6842145869768373
517937,0.3081945457326157
517938,0.47227844706137323
517939,0.47046552183308343
517940,0.4260976684265313
517941,0.46518914950026463
517942,0.3272358637088203
517943,0.3067020127275587
517944,0.04366108771033474
517945,0.3107697865927496
517946,0.09046334675793857
517947,0.4686685925849715
517948,0.5868533076817243
517949,0.30391709940731754
517950,0.1286920027253332
517951,0.3439599095736106
517952,0.3555139078820131
517953,0.3914318527996175
517954,0.3039764614059079
517955,0.4682825208348136
517956,0.24547107308837623
517957,0.34109759621611013
517958,0.6577934971228137
517959,0.22179402497860615
517960,0.13095651854969637
517961,0.6727938549171371
517962,0.31637100474817154
517963,0.140122063963735
517964,0.4968264013579333
517965,0.34127481285788
517966,0.06178416163160102
517967,0.18561157591925598
517968,0.7193626382270313
517969,0.6315783918670659
517970,0.2920076275244871
517971,0.2781799231496585
517972,0.35991353284176114
517973,0.31866457921359365
517974,0.4547839382287532
517975,0.4744762884922687
517976,0.3090883885947627
517977,0.04842554342809961
517978,0.26251015325761007
517979,0.3795137381110722
517980,0.27153621039291576
517981,0.06298573016561683
517982,0.3359881257724485
517983,0.27840618321054544
517984,0.11544725256816649
517985,0.22187921968925808
517986,0.1868697562684867
517987,0.26565825922611597
517988,0.1822395808862209
517989,0.6792519271370686
517990,0.2577015762852567
517991,0.2449058980119861
517992,0.3328602180597056
517993,0.6415499769930191
517994,0.04271066980450229
517995,0.5316137647607042
517996,0.4442134972949777
517997,0.48844396643904014
517998,0.250756939187643
517999,0.30983397958287134
518000,0.49476414981575334
518001,0.3613845390238453
518002,0.36823486536542427
518003,0.5310595588859208
518004,0.4685766874271221
518005,0.29040742100722755
518006,0.3626748260924205
518007,0.44184793672264727
518008,0.17043912834410324
518009,0.48588878604811914
518010,0.6732919919052297
518011,0.468718674581334
518012,0.21987976489818253
518013,0.4187854670935504
518014,0.3652143783257362
518015,0.045551576591258684
518016,0.18934411489546973
518017,0.3638665589018568
518018,0.46616101872349885
518019,0.3653307956329026
